;ID;Diet;variable;value
1;1;LDLr-/- LFD;DESC;0,0107380234293583
2;2;LDLr-/- LFD;DESC;0,0139759267412394
3;3;LDLr-/- WD;DESC;0,000191383678499517
4;4;LDLr-/- LFD;DESC;0,000561942668048235
5;5;LDLr-/- LFD;DESC;0,00976693801591082
6;6;LDLr-/- WD;DESC;0,00506299026418555
7;7;LDLr-/- LFD;DESC;0,00903426369712129
8;8;LDLr-/- WD;DESC;0,0052314199223954
9;9;LDLr-/- LFD;DESC;0,0218666361829458
10;10;LDLr-/- WD;DESC;0,00387632308068873
11;11;LDLr-/- WD;DESC;0
12;12;LDLr-/- LFD;DESC;0
13;14;LDLr-/- WD;DESC;0
14;15;LDLr-/- WD;DESC;0,0110034801682502
15;16;LDLr-/- LFD;DESC;0
16;18;LDLr-/- WD;DESC;0,0403196476261601
17;19;LDLr-/- LFD;DESC;0,0195850319241732
18;20;LDLr-/- LFD;DESC;0,0182793451240448
19;21;LDLr-/- WD;DESC;0,0109222766729392
20;22;LDLr-/- LFD;DESC;0,0187689977614872
21;23;LDLr-/- WD;DESC;0,000286504436078094
22;24;LDLr-/- WD;DESC;0
23;25;LDLr-/- WD;DESC;0
24;26;LDLr-/- WD;DESC;0,00731874977507555
25;28;LDLr-/- LFD;DESC;0,0637507272034424
26;30;LDLr-/- LFD;DESC;0,00853587590898955
27;31;LDLr-/- LFD;DESC;0,00788362431493514
28;32;LDLr-/- WD;DESC;0
29;33;LDLr-/- WD;DESC;0
30;34;LDLr-/- LFD;DESC;0,00896348029617968
31;35;LDLr-/- LFD;DESC;0
32;36;LDLr-/- WD;DESC;0,0033897835082504
33;37;LDLr-/- LFD;DESC;0,0123046128708001
34;38;LDLr-/- LFD;DESC;0,038079520389918
35;39;LDLr-/- LFD;DESC;0,0099052775350074
36;40;LDLr-/- WD;DESC;0
37;41;LDLr-/- LFD;DESC;0
38;112019676;ApoE-/- CHOW;DESC;0,04
39;122019676;ApoE-/- CHOW;DESC;0
40;132019676;ApoE-/- CHOW;DESC;0
41;142019676;ApoE-/- CHOW;DESC;0
42;152019676;ApoE-/- CHOW;DESC;0
43;162019676;ApoE-/- CHOW;DESC;0
44;172019676;ApoE-/- CHOW;DESC;0
45;182019676;ApoE-/- CHOW;DESC;0
46;192019676;ApoE-/- CHOW;DESC;0
47;202019676;ApoE-/- CHOW;DESC;0
48;102019676;ApoE-/- WD;DESC;0
49;12019676;ApoE-/- WD;DESC;0,04
50;22019676;ApoE-/- WD;DESC;0
51;32019676;ApoE-/- WD;DESC;0
52;42019676;ApoE-/- WD;DESC;0,04
53;52019676;ApoE-/- WD;DESC;0
54;62019676;ApoE-/- WD;DESC;0
55;72019676;ApoE-/- WD;DESC;0
56;82019676;ApoE-/- WD;DESC;0
57;92019676;ApoE-/- WD;DESC;0
58;1;LDLr-/- LFD;ARCH;0,0323647666986138
59;2;LDLr-/- LFD;ARCH;0,0104640084928535
60;3;LDLr-/- WD;ARCH;0,167960090669387
