;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
1;0;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;1;0,0197245498753895;106,808420908412;45,4534772725111;0,106249393296446;2;0,0142326719073437
2;1;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;2;0,82006552230314;424,710829428826;252,215208838896;0,0534075514720676;2;0,318422083784684
3;2;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;3;6,43604590184668e-07;0;0;1;2;0
4;3;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;4;1,02976734429547e-05;5,29987034960079;3,36527297908677;0,5;2;0
5;4;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;5;0,0792856494648493;152,720756260761;97,8260120549561;0,1566406001653;2;0,0640895014859991
6;5;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;6;0,00240579395811029;37,7013086525909;20,8386430348018;0,289857320099256;2;0,00219469165252972
7;6;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;7;1,930813770554e-06;2,66666666666667;1,33333333333333;0,75;1;0
8;7;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;8;3,92598800012647e-05;10,6675664448331;6,11698944068001;0,322751322751323;2;0
9;8;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;9;0,0010703144334771;33,3111663649599;15,9093162757483;0,226258503401361;2;0,00071697551346572
10;9;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;10;0,00125245453249936;30,4628101408099;14,4108099414024;0,281376518218623;1;0,00119324291020237
11;10;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;11;0,00209750735941183;45,562850472216;18,9308187877754;0,215999469777306;3;0
12;11;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;12;0,0193654185140665;89,6339637050309;44,7146074025969;0,160007019484387;1;0,0169557629284151
13;12;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;13;0,0281956734914001;111,209352954089;54,0428359172041;0,137308184143223;1;0,0256238295490222
14;13;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;14;0,000200804632137616;13,4389939427358;9,14697815204044;0,361111111111111;1;0,000197586609186693
15;14;1;ApoE-/- WD;0,878125092383699;0,058439940393358;0,531096715379076;0,0277033159799089;0,0198436167245737;0,241041503906782;36;15;8,36685967240068e-06;6,93531695368506;3,4582540834915;0,270833333333333;3;0
